item_id,brand,mpn,gtin,upc,ean,title,asin_or_upc,gtin_mpn
v1|146856755895|0,,,,,,Cobra Electronics CWA AirWave Box BT310 Waterproof Bluetooth Speaker,0,0
v1|167646727889|0,,,,,,"Samsung F6000F 40"" LED FHD 1080p Smart TV",0,0
v1|267065682089|0,,,,,,Befree Sound Bfs-A102-Rb 2.1 Channel Bluetooth Multimedia Wired Speaker Shelf,0,0
v1|127455979181|0,,,,,,NEW Altec Lansing HYDRATREK Everything Proof -Black Speaker Bluetooth,0,0
v1|396924423952|0,,,,,,"Dual Electronics LUBTWS6 Wireless Portable Bluetooth Speaker, Black ",0,0
v1|157144909599|0,,,,,,LG OLED65C5P 65 inch Class OLED evo AI C5 4K UHD HDR Smart TV - 2025 Model,0,0
v1|127455976398|0,,,,,,NEW Altec Lansing HYDRATREK Everything Proof -Blue Speaker Bluetooth,0,0
v1|227044804291|0,,,,,,Samsung 19” LN19B360C5D HDMI 720p LCD TV LN19B360 No Rmt FREESHIP,0,0
v1|336242841249|0,,,,,,"Samsung UN19F4000AF  19"" HDTV & Remote 720p HDMI-A/V- USB Tested ",0,0
v1|146437740790|0,,,,,,Sound Master Orbit Ipod Speakers Digital Music System Excalibur Electronics 180,0,0
v1|156327597361|0,,,,,,"JBL Charge 5, Portable Waterproof Speaker with Powerbank",0,0
v1|177291789073|0,,,,,,Google Nest Mini 1st Gen Wireless Bluetooth Speaker Green Very Good,0,0
v1|267401729443|0,,,,,,DIY Bluetooth Speaker Box Kit Electronic Sound Amplifier - Build Your Pink ,0,0
v1|356876035808|625804762298,,,,,,DIY Bluetooth Speaker Set Assembly Component for Electronics Project Practice,625804762298,625804762298
v1|156924341285|0,,,,,,"Samsung 32"" Class The Frame QLED HDR LS03C TV",0,0
v1|336042334348|0,,,,,,"JBL Pulse 5, Portable Bluetooth speaker with light show New",0,0
v1|157389562827|0,,,,,,"LG  XBOOM XL7 Portable Tower Party Speaker with Pixel LED, Black (Used)d",0,0
v1|376538560184|0,,,,,,LG Electronics ND2530 10W Bluetooth Speaker Lightning iPhone/iPod Dock - TESTED,0,0
v1|197800706137|0,,,,,,iHome Idl91 Dual Charging Stereo FM Clock Radio With Lightning Dock,0,0
v1|404742572908|0,,,,,,Decibel Electronics Bamboo Speaker Total Wireless Digital Bluetooth Speaker,0,0
v1|286896475979|0,,,,,,"Samsung QN48S90DAEXZA 48"" 4K OLED Smart TV with Dolby Atmos",0,0
v1|336244944903|0,,,,,,Samsung UN22F5000AF 22-Inch 1080p 60 LEDMonitor w/ Remote RV Gaming  Test Video,,
v1|176347395319|0,,,,,,"Outdoor Bluetooth Speaker with Flame Atmosphere, Electronics Gifts for Anyone",0,0
v1|397095354121|0,,,,,,"Samsung 19"" TV Gaming Television Home Video White Monitor HDMI LN-S195LW  ",0,0
v1|317471704056|0,,,,,,JBL PartyBox On-the-Go Essential,0,0
v1|157116065740|0,,,,,,Samsung 50 inch Class Q7F Series QLED 4K Vision AI Smart TV (2025),0,0
v1|236397159752|0,,,,,,Wireless Bluetooth Audio Speakers Waterproof W Carry Handle Electronics Outside,0,0
v1|297689499985|0,,,,,,Toproad A100 Bluetooth Speaker 10W Wireless Stereo Heavy Bass Bluetooth Speaker,0,0
v1|227032318865|0,,,,,,"Samsung UN32EH4003F 32"" 720p 60Hz 2013 Non-Smart LED TV - no remote",0,0
v1|335272517372|0,,,,,,Befree Sound Bfs-2019-Rb 12 Inch Bt Portable Rechargeable Party Speaker,0,0
v1|364979035649|0,,,,,,"Speaker Lot, Random Electronics, Gadgets, Bluetooth, Sound Device, Play Music ",0,0
v1|317358509470|0,,,,,,NAXA Electronics NAXA NS-438 Digital CD Micro System with AM/FM Stereo Radio,0,0
v1|177409975282|0,,,,,,LG XBOOM GonP7 with MERIDIAN new,0,0
v1|116636512579|0,,,,,,"Source Electronics Wireless Speaker w/Flashing LED Lights, Removable Carry Strap",0,0
v1|405849270057|676152215943,,,,,,DIY Bluetooth Speaker Set Assembly Component for Electronics Project Practice,676152215943,676152215943
v1|205011329949|505713843736,,,,,,"JBL Go Essential, A compact waterproof Bluetooth speaker with great sound.",505713843736,505713843736
v1|363765829464|0,,,,,,Skull Speaker YSEECHENS Portable Bluetooth Speakers 8W Output Bass Stereo for  ,0,0
v1|127440802577|0,,,,,,"Samsung 28"" class LED TV/Monitor 720p UN28H4000AF, Black.",0,0
v1|326642914520|0,,,,,,"Samsung - 50"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",0,0
v1|167646749860|0,,,,,,Samsung 65 inch QN70F 4K Smart TV QLED HDR 120Hz (2025),0,0
v1|167887193535|0,,,,,,"Samsung QN50LS03FA 50"" The Frame QLED 4K UHD Smart  TV(Open Box with Wear) #2350",0,0
v1|236405279473|0,,,,,,JBL Horizon 2 Bluetooth Clock Radio Speaker - Black,0,0
v1|296840954149|0,,,,,,Cohu Electronics 4410 Television Camera 4400 Series,0,0
v1|136476817904|0,,,,,,Yamaha YDS-11 Ipod Docking Stations 30 Pins Receivers W/cable Media Electronics,0,0
v1|365767220492|635540895296,,,,,,DIY Bluetooth-Compatibility Speaker Loose Parts For Electronics Project Practice,635540895296,635540895296
v1|156942358815|0,,,,,,"Onyx Studio 6, Portable Bluetooth speaker",0,0
v1|406274751589|676602977358,,,,,,DIY Bluetooth-Compatibility Speaker Loose Parts For Electronics Project Practice,676602977358,676602977358
v1|136522248366|0,,,,,,"Samsung 75"" Class 4K (2160p) Smart QLED TV (QN75Q60DBF)",0,0
v1|136662415004|0,,,,,,JBL by Harman Clip 5 Wireless Bluetooth Speaker Waterproof Dustproof,0,0
v1|257167667558|0,,,,,,I Dog Bluetooth Speaker 2006,0,0
v1|306509948128|0,,,,,,"Medium Amazon Mystery Boxes New Items Electronics, Home Goods, Etc.",0,0
v1|197726927565|0,,,,,,"Mixed Mystery Box – Garden, Decor & Beauty & Electronics Surprise Bundle",0,0
v1|286393092388|588498748807,,,,,,Dell Latitude Laptop Computer PC Intel i5 Up To 32GB RAM 1TB SSD Windows 11,,
v1|145586233629|0,,,,,,"1 Year Warranty Dell P29T001 11.6"" Chromebook Celeron 1.1GHz/4GB/32GB (Black)",,
v1|396320750534|0,,,,,,"CHUWI- 13.3"" Laptop - Intel Celeron 2.8GH- 8GB Memory - 256GB SSD-HDMI Gray",,
v1|335478590590|544919693049,,,,,,"Lenovo ThinkPad T14 Touch 14"" Intel Core i7 4.90 GHz 48GB RAM 4TB SSD Win 11 Pro",,
v1|376341038272|0,,,,,,"HP OmniBook X AI 14-fe0013dx 14"" Touch Elite X1E-78-100 16GB 1TB SSD W11 Laptop",,
v1|396980031218|0,,,,,,CHUWI MiniBook X 10.8in Touchscreen 360° Rotate Laptop Intel N5100 12G+512G,,
v1|256879744174|557422176906,,,,,,HP EliteBook 14” FHD AMD Ryzen 5 PRO Laptop PC Up To 32GB RAM 1TB SSD Windows 11,,
v1|116458919375|0,,,,,,FHD DELL Latitude Laptop: Intel i7! 32GB RAM ~ 1TB NVME SSD! Windows 11 Pro!,,
v1|115603286837|415618341219,,,,,,"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",,
v1|256942721121|0,,,,,,Lenovo ThinkPad 15” Business Laptop Intel Core i5 16GB RAM 512GB SSD Win 11 Pro,,
v1|197513520668|0,,,,,,Getac A140 G2 Rugged Tablet Core i5-10310U 1.7GHz 16GB RAM 512GB NVMESSD 11 PRO,,
v1|357823087772|0,,,,,,"Dell 12,5""/i5- 4310u/8Gb/ssd 120Gb/The Battery is Good   NO Camera/ NO AC  ",,
v1|284951803791|587279351783,,,,,,"Microsoft Surface Pro 7, 12.3"" Wi-Fi 128/256/512, i3/i5/i7 Black/Platinum",,
v1|227036728032|0,,,,,,HP EliteBook Laptop Computer PC 14 Core i7 32GB RAM 512GB Windows 11 Pro OFFICE!,,
v1|326605385607|0,,,,,,"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 128GB SSD Windows 11 !!",,
v1|264714576220|0,,,,,,"Dell Latitude 3301 Laptop 13.3"" Intel Core i3 Windows 11 PC 4GB RAM 128GB SSD",,
v1|335762770305|545286436028,,,,,,"Dell 14"" FHD Laptop Intel Quad Core i7 4.20GHz 64GB RAM 4TB SSD Windows 11 Pro",,
v1|167888998718|0,,,,,,Dell Studio 1569 Laptop Intel Core,,
v1|205811368745|0,,,,,,HP ProBook 455 G9 15.6'' Laptop,,
v1|197449081237|0,,,,,,"HP - OmniBook X Flip 2-in-1 - Copilot+ PC - 14"" 2K Touch-Screen Laptop - Inte...",,
v1|167888557437|0,,,,,,"HP ProBook 450 G5-15.6""Touch-Core i5-8250U-8GB RAM-256GB SSD W/Charger",,
v1|256245941032|0,,,,,,Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11,,
v1|146493392451|445261046822,,,,,,2025 Lenovo IdeaPad Laptop Notebook 15.6 Intel Processor Upto 20GB RAM 1TB SSD,,
v1|374674838869|0,,,,,,"HP Chromebook 11A G8 EE 11.6"" AMD A4 1.6GHz/4GB/32GB - 16W64UT w/1 Year Warranty",,
v1|254170214367|0,,,,,,"Dell Latitude Laptop PC 11.6"" HD Intel Celeron 4GB RAM 64GB SSD Windows 11",,
v1|306570373863|0,,,,,,"Microsoft Surface Laptop 4 1950 13.5"" i7-1185G7 512GB SSD 16GB Ram *NO OS, NO AC",,
v1|264714553889|0,,,,,,Dell Latitude Laptop Light Gaming PC Core i7 16GB RAM 512GB SSD Windows 11 Pro,,
v1|375902813389|0,,,,,,"Dell Latitude 3120 11.6"" Pentium 1.10GHz/4GB/128GB SSD (Black) - P32T001",,
v1|296275789903|0,,,,,,Dell Latitude 3189 - 2-IN-1 Tablet Intel pentium N4200 8GB RAM 128GB SSD *****,,
v1|306412265360|0,,,,,,"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch",,
v1|326766350767|0,,,,,,"Lenovo Chromebook 500e Gen 3 11.6"" Touchscreen  8GB / 64GB - 2 in 1 tablet A GRD",,
v1|205776214742|506549886705,,,,,,Business 17 Inch Windows 11 Laptop With 128GB / 256GB / 512GB SSD Intel Celeron,,
v1|335333243508|544912345138,,,,,,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",,
v1|266791101115|0,,,,,,Lenovo 100e Gen 2 11.6” Laptop Computer Intel 4GB RAM 64GB SSD Windows 11 Pro PC,,
v1|266889342994|0,,,,,,"Acer Aspire 3-15.6"" Laptop AMD Ryzen 5 2.8GHz 16GB 1TB SSD Certified Refurbished",,
v1|167877764441|0,,,,,,Dell Latitude 3190 2-in-1 11.6″ Touchscreen Pentium 8 GB RAM 128 GB SSD Win11 Ex,,
v1|296584849936|0,,,,,,"ASUS VivoBook 16"" WUXGA Notebook Intel Core i7-13620H 16GB DDR4 RAM 512GB SSD",,
v1|235738240046|0,,,,,,"Dell Chromebook 11.6"" 2-in-1 Touch Laptop Celeron 4GB Ram 32GB SSD ChromeOS 2029",,
v1|306447960990|0,,,,,,Dell Latitude 3190 2-IN-1 N5030 1.10GHz 4GB RAM 128GB Windows 11 Pro Grade A,,
